Class	Sentence	pos_tags
NomAnaph	Nevertheless,  in  view  of  the  world-wide  notoriety  which  attended  it,  I  have  been  asked,  both  by  my  friend  Poirot  and  the  family  themselves,  to  write  an  account  of  the  whole  story. 	Nevertheless/RB ,/, in/IN view/NN of/IN the/DT world-wide/JJ notoriety/NN which/WDT attended/VBD it/PRP ,/, I/PRP have/VBP been/VBN asked/VBN ,/, both/DT by/IN my/PRP$ friend/NN Poirot/NNP and/CC the/DT family/NN themselves/PRP ,/, to/TO write/VB an/DT account/NN of/IN the/DT whole/JJ story/NN ./.
ClauseAnaph	It's  simply  bare-faced  fortune  hunting;  but  there  you  are...she  is  her  own  mistress,  and  she's  married  him. 	It/PRP 's/VBZ simply/RB bare-faced/JJ fortune/NN hunting/NN ;/: but/CC there/EX you/PRP are/VBP .../: she/PRP is/VBZ her/PRP$ own/JJ mistress/NN ,/, and/CC she/PRP 's/VBZ married/JJ him/PRP ./.
NomAnaph	Mary  was  situated  about  two  miles  from  the  little  station,  and  Styles  Court  lay  a  mile  the  other  side  of  it. 	Mary/NNP was/VBD situated/VBN about/IN two/CD miles/NNS from/IN the/DT little/JJ station/NN ,/, and/CC Styles/NNP Court/NNP lay/VBD a/DT mile/NN the/DT other/JJ side/NN of/IN it/PRP ./.
ClauseAnaph	She  is  up  at  five  every  morning  to  milk,  and  keeps  at  it  steadily  until  lunchtime. 	She/PRP is/VBZ up/RB at/IN five/CD every/DT morning/NN to/TO milk/NN ,/, and/CC keeps/VBZ at/IN it/PRP steadily/RB until/IN lunchtime/NN ./.
ClauseAnaph	Don't  say  it. 	Do/VBP n't/RB say/VB it/PRP ./.
NomAnaph	In  case  of  a  refusal,  Lady  Tadminster  might  open  it  the  first  day,  and  Mr.s.  Crosbie  the  second. 	In/IN case/NN of/IN a/DT refusal/NN ,/, Lady/NNP Tadminster/NNP might/MD open/VB it/PRP the/DT first/JJ day/NN ,/, and/CC Mr.s/NNP ./. Crosbie/NNP the/DT second/JJ ./.
NomAnaph	The  French  window  swung  open  a  little  wider,  and  a  handsome  white-haired  old  lady,  with  a  somewhat  masterful  cast  of  features,  stepped  out  of  it  on  to  the  lawn. 	The/DT French/JJ window/NN swung/NN open/VB a/DT little/JJ wider/NN ,/, and/CC a/DT handsome/JJ white-haired/JJ old/JJ lady/NN ,/, with/IN a/DT somewhat/RB masterful/JJ cast/NN of/IN features/NNS ,/, stepped/VBD out/IN of/IN it/PRP on/IN to/TO the/DT lawn/NN ./.
NomAnaph	It  was  one  of  the  longest  and  blackest  I  have  ever  seen. 	It/PRP was/VBD one/CD of/IN the/DT longest/JJS and/CC blackest/JJS I/PRP have/VBP ever/RB seen/VBN ./.
ClauseAnaph	It  struck  me  that  he  might  look  natural  on  a  stage,  but  was  strangely  out  of  place  in  real  life. 	It/PRP struck/VBD me/PRP that/IN he/PRP might/MD look/VB natural/JJ on/IN a/DT stage/NN ,/, but/CC was/VBD strangely/RB out/IN of/IN place/NN in/IN real/JJ life/NN ./.
NomAnaph	And  you  will  return  there  after  it  is  over? 	And/CC you/PRP will/MD return/VB there/RB after/IN it/PRP is/VBZ over/IN ?/.
ClauseAnaph	But  really,  seriously,  I  am  awfully  drawn  to  it. 	But/CC really/RB ,/, seriously/RB ,/, I/PRP am/VBP awfully/RB drawn/VBN to/TO it/PRP ./.
NomAnaph	Don't  mean  the  police,  but  the  people  that  are  right  in  it. 	Do/VBP n't/RB mean/VB the/DT police/NN ,/, but/CC the/DT people/NNS that/WDT are/VBP right/JJ in/IN it/PRP ./.
ClauseAnaph	Mightn't  be  able  to  prove  it  to  a  pack  of  lawyers. 	Might/MD n't/RB be/VB able/JJ to/TO prove/VB it/PRP to/TO a/DT pack/NN of/IN lawyers/NNS ./.
NomAnaph	Associate  it  more  with  a  man. 	Associate/VB it/PRP more/RBR with/IN a/DT man/NN ./.
NomAnaph	It  makes  me  feel  as  if  a  goose  were  walking  over  my  grave. 	It/PRP makes/VBZ me/PRP feel/VB as/IN if/IN a/DT goose/NN were/VBD walking/VBG over/IN my/PRP$ grave/NN ./.
ClauseAnaph	She  jumped  up  promptly,  and  something  in  her  manner  reminded  me  that  her  position  was  a  dependent  one,  and  that  Mr.s.  Inglethorp,  kind  as  she  might  be  in  the  main,  did  not  allow  her  to  forget  it. 	She/PRP jumped/VBD up/RB promptly/RB ,/, and/CC something/NN in/IN her/PRP$ manner/NN reminded/VBD me/PRP that/IN her/PRP$ position/NN was/VBD a/DT dependent/JJ one/CD ,/, and/CC that/DT Mr.s/NNP ./. Inglethorp/NNP ,/, kind/NN as/IN she/PRP might/MD be/VB in/IN the/DT main/JJ ,/, did/VBD not/RB allow/VB her/PRP to/TO forget/VB it/PRP ./.
NomAnaph	Well,  don't  let  him  have  too  much  of  it. 	Well/RB ,/, do/VBP n't/RB let/VB him/PRP have/VB too/RB much/JJ of/IN it/PRP ./.
